section,token,pos,count
body,answer,VB,9
body,answerable,JJ,1
body,answered,VBD,7
body,answered,VBN,7
body,answering,VBG,1
body,answers,NNS,1
body,anticipated,VBD,3
body,anticipating,VBG,1
body,anticipation,NN,1
body,anxiety,NN,10
body,anxious,JJ,19
body,anxiously,RB,2
body,any,DT,154
body,anybody,NN,12
body,anyhow,RB,1
body,anyone,NN,2
body,anything,NN,44
body,apace,RB,1
body,apartment,NN,2
body,apartments,NNS,2
body,apologise,NN,1
body,apologize,VB,1
body,apology,NN,3
body,apparent,JJ,1
body,apparently,RB,2
body,appeal,VB,1
body,appeals,NNS,1
body,appear,VB,11
body,appear,VBP,6
body,appearance,NN,19
body,appeared,VBD,10
body,appeared,VBN,5
body,appearing,VBG,4
body,appears,VBZ,1
body,appeased,VBN,1
body,appetite,NN,1
body,application,NN,8
body,applied,VBD,1
body,applied,VBN,5
body,apply,VB,1
body,applying,VBG,2
body,appointed,VBN,1
body,appointment,NN,1
body,apprehended,VBN,1
body,apprehending,VBG,1
body,apprehension,NN,8
body,apprehensions,NNS,2
body,apprehensive,JJ,1
body,approach,NN,5
body,approached,VBD,3
body,approaching,VBG,9
body,approbation,NN,6
body,approve,VB,3
body,ardent,JJ,1
body,ardently,RB,2
body,are,VBP,153
body,arguments,NNS,3
body,arise,VB,2
body,arisen,VBN,5
body,arising,VBG,4
body,arm,NN,2
body,army,NN,3
body,arose,VBD,2
body,around,IN,1
body,arrangement,NN,4
body,arrangements,NNS,1
body,arrear,NN,1
body,arrested,VBD,1
body,arrival,NN,16
body,arrive,VB,1
body,arrived,VBD,8
body,arrived,VBN,2
body,arrogance,NN,1
body,art,NN,2
body,article,NN,2
body,articles,NNS,1
body,artificial,JJ,1
body,arts,NNS,1
body,as,IN,526
body,as,RB,94
body,ascended,VBD,2
body,ascertain,VB,1
body,ashamed,JJ,12
body,aside,RB,1
body,ask,VB,18
body,asked,VBD,13
body,asked,VBN,6
body,asking,VBG,6
body,aspect,NN,3
body,aspire,VB,1
body,assembled,VBN,2
body,assert,VB,2
body,asserted,VBD,1
body,assertion,NN,1
body,assertions,NNS,2
body,assiduously,RB,1
body,assist,VB,6
body,assistance,NN,10
body,assisted,VBD,1
body,assisted,VBN,1
body,assume,VB,1
body,assumed,VBN,1
body,assurance,NN,11
body,assurances,NNS,8
body,assure,VB,5
body,assure,VBP,8
body,assured,VBD,6
body,assured,VBN,11
body,astonish,VB,1
body,astonished,JJ,2
body,astonished,VBD,1
body,astonished,VBN,2
body,astonishment,NN,19
body,at,IN,385
body,ate,VBN,1
body,atone,NN,1
body,atone,VB,1
body,attach,VB,2
body,attached,VBD,1
body,attached,VBN,6
body,attachment,NN,17
body,attachments,NNS,1
body,attack,NN,1
body,attacks,NNS,1
body,attained,VBN,1
body,attempt,NN,6
body,attempt,VB,4
body,attempted,VBN,3
body,attempting,VBG,3
body,attend,VB,2
body,attendance,NN,4
body,attendant,NN,1
body,attendants,NNS,1
body,attended,VBD,6
body,attended,VBN,8
body,attending,VBG,5
body,attention,NN,28
body,attentions,NNS,11
body,attentive,JJ,5
body,attentively,RB,3
body,attics,NNS,1
body,attrac,NN,1
body,attracted,VBN,1
body,attraction,NN,1
body,attractions,NNS,1
body,attribute,VB,1
body,attributed,VBD,1
body,attributed,VBN,2
body,aught,NN,1
body,augment,VBP,1
body,augmented,JJ,1
body,aunt,NN,56
body,aunts,NNS,1
body,austerity,NN,1
body,authority,NN,6
body,authorize,VB,1
body,authorized,VBN,1
body,authorizing,VBG,1
body,availed,VBD,1
body,avoid,VB,9
body,avoidance,NN,1
body,avoided,VBN,1
body,avowal,NN,2
body,avowed,JJ,2
body,avowed,VBD,1
body,awake,RB,1
body,awakened,VBD,1
body,awakened,VBN,2
body,aware,JJ,7
body,away,RB,63
body,away,RP,5
body,awe,NN,3
body,awkward,JJ,6
body,awkwardness,NN,3
body,awoke,VBD,1
body,back,RB,17
body,back,RP,5
body,backed,VBN,1
body,backward,RB,1
body,bad,JJ,9
body,ball,NN,4
body,balls,NNS,5
body,balm,NN,1
body,bandbox,NN,1
body,banish,VB,1
body,banished,VBN,3
body,banks,NNS,2
body,barbarous,JJ,1
body,barely,RB,1
body,barouche-box,NN,1
body,basis,NN,1
body,bathing-place,NN,1
body,battled,VBD,1
body,be,VB,681
body,bear,NN,1
body,bear,VB,12
body,bear,VBP,1
body,bears,VBZ,1
body,beatings,NNS,1
body,beauteous,JJ,1
body,beauties,NNS,2
body,beautiful,JJ,9
body,beauty,NN,12
body,became,VBD,11
body,because,IN,23
body,become,VB,5
body,become,VBN,1
body,becomes,VBZ,1
body,becoming,VBG,1
body,bed,NN,2
body,bedrooms,NNS,1
body,been,VBN,332
body,befall,VB,1
body,before,IN,114
body,before,RB,23
body,befriended,VBD,1
body,beg,VB,4
body,beg,VBP,3
body,began,VBD,27
body,begged,VBD,4
body,begging,VBG,1
body,begin,VB,3
body,begin,VBP,3
body,beginning,NN,7
body,beginning,VBG,2
body,begins,VBZ,1
body,begs,VBZ,1
body,begun,VBN,1
body,behalf,NN,1
body,behave,VB,1
body,behaved,VBD,5
body,behaved,VBN,3
body,behaves,VBZ,1
body,behavior,NN,5
body,behaviour,NN,29
body,beheld,VBD,1
body,behind,IN,10
body,behind,RB,2
body,beholding,VBG,1
body,being,NN,2
body,being,VBG,75
body,belief,NN,13
body,believe,VB,24
body,believe,VBP,21
body,believed,VBD,18
body,believed,VBN,10
body,believing,VBG,6
body,bell,NN,1
body,belong,VB,1
body,belonged,VBN,1
body,belonging,VBG,1
body,belongs,VBZ,1
body,beloved,JJ,2
body,below,IN,3
body,benches,NNS,1
body,beneath,IN,4
body,benefit,NN,2
body,benefited,VBN,3
body,benefiting,VBG,1
body,benefits,NNS,1
body,benevolence,NN,2
body,benevolent,JJ,1
body,bent,JJ,2
body,ber,NN,1
body,besides,IN,7
body,best,JJS,22
body,best,RB,1
body,bestow,VB,4
body,bestowed,VBN,5
body,betray,NN,1
body,betray,VB,1
body,betrayed,VBD,1
body,betrayed,VBN,3
body,better,JJR,25
body,better,RB,4
body,better,RBR,6
body,between,IN,27
body,bewildered,JJ,1
body,beyond,IN,21
body,bidding,NN,2
body,bills,NNS,1
body,birds,NNS,2
body,birth,NN,2
body,biting,VBG,1
body,bitter,JJ,1
body,bitterest,JJS,1
body,bitterness,NN,4
body,blacken,VB,1
body,blame,NN,4
body,blame,VB,5
body,blame,VBP,1
body,blamed,VBD,1
body,blameless,JJ,1
body,blameless,VBZ,1
body,blamelessness,NN,1
body,blaming,VBG,1
body,blasted,VBD,1
body,ble,NN,1
body,blemish,NN,1
body,bless,VB,2
body,bless,VBP,1
body,blessed,VBN,3
body,blessing,NN,2
